artist_name,instagram_input,instagram_handle,instagram_url,instagram_followers,facebook_input,facebook_handle,facebook_url,facebook_followers,twitter_input,twitter_handle,twitter_url,twitter_followers
Bushwick,,"","",,https://m.facebook.com/Bushwickbhc/?ref=bookmarks,?ref=bookmarks,http://www.facebook.com/?ref=bookmarks,No elements matched,@mycool_bhc,mycool_bhc,http://www.twitter.com/mycool_bhc,130
Lamaar Oziér,https://www.instagram.com/lamaarozier/,lamaarozier,http://www.instagram.com/lamaarozier,1264,https://www.facebook.com/lamaarozier,lamaarozier,http://www.facebook.com/lamaarozier,1664,@lamaarozier,lamaarozier,http://www.twitter.com/lamaarozier,107
Natoyamj,www.instagram.com/natoyamj,natoyamj,http://www.instagram.com/natoyamj,404 Not Found,www.facebook.com/natoyamj,natoyamj,http://www.facebook.com/natoyamj,No elements matched,Natoyamj,Natoyamj,http://www.twitter.com/Natoyamj,975
Gail Gallagher,https://www.instagram.com/chibigail87/,chibigail87,http://www.instagram.com/chibigail87,404 Not Found,https://www.facebook.com/gailegallagher/,gailegallagher,http://www.facebook.com/gailegallagher,206,@chibigail,chibigail,http://www.twitter.com/chibigail,404 Not Found
Rell the Wrecker,,"","",,,"","",,,"","",
Mz. M.A.G.I.C,,"","",,,"","",,,"","",
Noreiyea,www.instagram.com/noreiyeah2o,noreiyeah2o,http://www.instagram.com/noreiyeah2o,3411,www.facebook.com/noreiyeah20,noreiyeah20,http://www.facebook.com/noreiyeah20,2300,@noreiyeah2o,noreiyeah2o,http://www.twitter.com/noreiyeah2o,539
Poetic Scope,,"","",,www.facebook.com/poetic.scope,poetic.scope,http://www.facebook.com/poetic.scope,No elements matched,,"","",
Greg Jurgensen,,"","",,https://www.facebook.com/greg.jurgensen.3,greg.jurgensen.3,http://www.facebook.com/greg.jurgensen.3,No elements matched,,"","",
Queen Dyna,QD Paysryle,"","",,www.Facebook.com/queendyna,queendyna,http://www.facebook.com/queendyna,No elements matched,QD Paystyle,"","",
Robert Bitte,,"","",,,"","",,,"","",
Rayon Zeal ,Rayonzeal ,"","",,,"","",,,"","",
Sean stone,,"","",,,"","",,,"","",
Asia (Songbyrd) Jamal,https://www.instagram.com/songbyrd773/,songbyrd773,http://www.instagram.com/songbyrd773,1081,https://www.facebook.com/Songbyrdmusic/,Songbyrdmusic,http://www.facebook.com/Songbyrdmusic,1228,@Songbyrd773,Songbyrd773,http://www.twitter.com/Songbyrd773,38
Left In The Rain,www.instagram.com/leftintherainband,leftintherainband,http://www.instagram.com/leftintherainband,389,www.facebook.com/leftintherain,leftintherain,http://www.facebook.com/leftintherain,404 Not Found,@LeftIn_The_Rain,LeftIn_The_Rain,http://www.twitter.com/LeftIn_The_Rain,10
Kaneo Blak,Instagram.com/kaneo2watch,kaneo2watch,http://www.instagram.com/kaneo2watch,1999,Facebook.com/kaneoblak,kaneoblak,http://www.facebook.com/kaneoblak,94,@iamkaneoblak,iamkaneoblak,http://www.twitter.com/iamkaneoblak,406
Squadd Six Ent..,,"","",,,"","",,,"","",
Meghan Griffith,https://www.instagram.com/m3ggriff/,m3ggriff,http://www.instagram.com/m3ggriff,404 Not Found,https://www.facebook.com/kennyandmeghan/?ref=aymt_homepage_panel,?ref=aymt_homepage_panel,http://www.facebook.com/?ref=aymt_homepage_panel,No elements matched,,"","",
Ryou Bakura,www.instagram.com/officialcreativechaos,officialcreativechaos,http://www.instagram.com/officialcreativechaos,404 Not Found,,"","",,@touzokuoubakura,touzokuoubakura,http://www.twitter.com/touzokuoubakura,527
The Knowledge Plug,@theknowledgeplug,theknowledgeplug,http://www.instagram.com/theknowledgeplug,404 Not Found,Www.facebook.com/theknowledgeplug,theknowledgeplug,http://www.facebook.com/theknowledgeplug,234,,"","",
Sauceboy DC,Jeffrey Berry,"","",,https://www.facebook.com/Sauceboy-DC-1602909296440916/,Sauceboy-DC-1602909296440916,http://www.facebook.com/Sauceboy-DC-1602909296440916,19,@carde_yeezy,carde_yeezy,http://www.twitter.com/carde_yeezy,839
WB Russell,,"","",,,"","",,,"","",
IamKingBenny,www.instagram.com/iamkingbenng,iamkingbenng,http://www.instagram.com/iamkingbenng,404 Not Found,www.facebook.com/Kingbenny.5ivedeepmedia,Kingbenny.5ivedeepmedia,http://www.facebook.com/Kingbenny.5ivedeepmedia,No elements matched,@itzbenny773281,itzbenny773281,http://www.twitter.com/itzbenny773281,32
Jaylin Santana,https://www.instagram.com/jaylin_santana/,jaylin_santana,http://www.instagram.com/jaylin_santana,1183,https://www.facebook.com/jaylin4190/,jaylin4190,http://www.facebook.com/jaylin4190,148,https://twitter.com/Jaylin_Santana,Jaylin_Santana,http://www.twitter.com/Jaylin_Santana,299
Brandon Shane,www.instagram.com/kingdomhiphop,kingdomhiphop,http://www.instagram.com/kingdomhiphop,404 Not Found,www.facebook.com/thebrandonshane,thebrandonshane,http://www.facebook.com/thebrandonshane,127,@thebrandonshane,thebrandonshane,http://www.twitter.com/thebrandonshane,53
Synsier ,Synsier_therapperr,Synsier_therapperr,http://www.instagram.com/Synsier_therapperr,1670,Synsier TheRapper ,"","",,,"","",
NuSkooHippy,,"","",,,"","",,@nuskoohippy,nuskoohippy,http://www.twitter.com/nuskoohippy,414
The Queue,www.instagram.com/thequeueband,thequeueband,http://www.instagram.com/thequeueband,JSON failed to parse,www.facebook.com/thequeue,thequeue,http://www.facebook.com/thequeue,2250,@thequeueband,thequeueband,http://www.twitter.com/thequeueband,275
Angie Ramseier,www.instagram/angieramseiermusic,angieramseiermusic,http://www.instagram.com/angieramseiermusic,404 Not Found,,"","",,,"","",
Arlin Tawzer,,"","",,,"","",,,"","",
The Groan Men,,"","",,https://www.facebook.com/TheGroanMen/,TheGroanMen,http://www.facebook.com/TheGroanMen,104,@TheGroanMen,TheGroanMen,http://www.twitter.com/TheGroanMen,1
Young Squad da Ruga,@young_squadruga5,young_squadruga5,http://www.instagram.com/young_squadruga5,404 Not Found,YoungSquad Da Ruga,"","",,@youngsquaddaruga,youngsquaddaruga,http://www.twitter.com/youngsquaddaruga,404 Not Found
Italo ,Www.instagram.com/ItaMasta,ItaMasta,http://www.instagram.com/ItaMasta,452,https://m.facebook.com/ItaMastaa,ItaMastaa,http://www.facebook.com/ItaMastaa,324,@ItaMasta,ItaMasta,http://www.twitter.com/ItaMasta,413
EJ Bisiar,,"","",,https://www.facebook.com/EJ-Bisiar-270872169634903/,EJ-Bisiar-270872169634903,http://www.facebook.com/EJ-Bisiar-270872169634903,92,,"","",
Tvapor,,"","",,https://www.facebook.com/liquid2vapor/,liquid2vapor,http://www.facebook.com/liquid2vapor,3,https://twitter.com/TTramutt,TTramutt,http://www.twitter.com/TTramutt,5
King,King_music_art,King_music_art,http://www.instagram.com/King_music_art,86,,"","",,@kingdom216,kingdom216,http://www.twitter.com/kingdom216,910
Heka,Ryou Bakura,"","",,,"","",,lecreativechaos,lecreativechaos,http://www.twitter.com/lecreativechaos,404 Not Found
TakeGang Heavy,Www.Instagram.come/Dmoneiheartless,Dmoneiheartless,http://www.instagram.com/Dmoneiheartless,205,https://m.facebook.com/tay.d.walls?refid=8,tay.d.walls?refid=8,http://www.facebook.com/tay.d.walls?refid=8,No elements matched,@Heavy_Takegang,Heavy_Takegang,http://www.twitter.com/Heavy_Takegang,997
Shea Teeley,,"","",,,"","",,,"","",
Chi-izzy,,"","",,,"","",,@chidashizzy,chidashizzy,http://www.twitter.com/chidashizzy,479
Paul DesRosiers,,"","",,,"","",,,"","",
Jeffrey Coghill Music,,"","",,https://www.facebook.com/jeffreycoghillmusic/,jeffreycoghillmusic,http://www.facebook.com/jeffreycoghillmusic,128,,"","",
Bert Mack,,"","",,,"","",,,"","",
Balcony Monkey,,"","",,Www.facebook.com/,Www.facebook.com,http://www.facebook.com/Www.facebook.com,404 Not Found,,"","",
Cryptonamis ,Www.Instagram.com/crypticsoulent ,"","",,Www. Facebook.com/Cryptonamis ,"","",,@ThatGuyPanama,ThatGuyPanama,http://www.twitter.com/ThatGuyPanama,31
DAVEY HARP ,,"","",,,"","",,,"","",
LilT4nk,www.instagram.com/lilt4nkprodigy/,lilt4nkprodigy,http://www.instagram.com/lilt4nkprodigy,404 Not Found,www.facebook.com/LilT4nkProdigy,LilT4nkProdigy,http://www.facebook.com/LilT4nkProdigy,No elements matched,@LilT4nkProdigy,LilT4nkProdigy,http://www.twitter.com/LilT4nkProdigy,404 Not Found
Tavious Soul,www.instagram.com/tavioussoul,tavioussoul,http://www.instagram.com/tavioussoul,404 Not Found,https://www.facebook.com/TaviousSoul/,TaviousSoul,http://www.facebook.com/TaviousSoul,No elements matched,,"","",
JusKooL K.O.E.,@JusKooL1,JusKooL1,http://www.instagram.com/JusKooL1,404 Not Found,https://www.facebook.com/GiftedChildK.O.E/,GiftedChildK.O.E,http://www.facebook.com/GiftedChildK.O.E,398,@JusKoe1,JusKoe1,http://www.twitter.com/JusKoe1,564
Gary Skopick's Redshift,,"","",,www.facebook.com/GARY-SKOPICKS-REDSHIFT-109481805757191/,GARY-SKOPICKS-REDSHIFT-109481805757191,http://www.facebook.com/GARY-SKOPICKS-REDSHIFT-109481805757191,75,,"","",
StoryTeller ,www.instegram.com/storytellermuzic ,"","",,Www.facebook.com/storyteller,storyteller,http://www.facebook.com/storyteller,118,@storytmuzic,storytmuzic,http://www.twitter.com/storytmuzic,404 Not Found
IC JONEZ ,https://instagram.com/icjonez,icjonez,http://www.instagram.com/icjonez,3211,www.Facebook.com/icjonez,icjonez,http://www.facebook.com/icjonez,404 Not Found,@icjonez,icjonez,http://www.twitter.com/icjonez,1
Tony Rosario,www.instagram.com/trutone1,trutone1,http://www.instagram.com/trutone1,517,https://www.facebook.com/trutone1/,trutone1,http://www.facebook.com/trutone1,1007,@trutone1,trutone1,http://www.twitter.com/trutone1,158
Peter Lloyd,,"","",,https://www.facebook.com/peter.lloyd.9615,peter.lloyd.9615,http://www.facebook.com/peter.lloyd.9615,No elements matched,@peterlloydwrite,peterlloydwrite,http://www.twitter.com/peterlloydwrite,84
Joe Candelario,,"","",,https://www.facebook.com/JoeCandelarioMusic/,JoeCandelarioMusic,http://www.facebook.com/JoeCandelarioMusic,638,,"","",
